ID;KenmerkenPersonen;Periode;ToegangTotInternet;PersonalComputerPCOfDesktop;LaptopOfNetbook;Tablet;MobieleTelefoonOfSmartphone;Spelcomputer;SmartTVOfTVMetSetTopBox
0;Totaal;2012;91.5;70.5;73.4;;56.5;23.6;19.8
1;Totaal;2013;92.8;67.8;74.7;45.1;66.8;22.9;29
2;Totaal;2014;93.2;61.2;75.9;57.1;74.1;23.8;39.1
3;Totaal;2015;94;56.6;77.2;64.9;78.8;25.3;38
4;Totaal;2016;94.4;58.3;79.3;68.3;84.6;28.7;44.6
5;Totaal;2017;97.1;60.3;82;71.7;89;31.3;52
414;Nederlands;2012;91.5;70.9;73.5;;56.5;23.2;19.6
415;Nederlands;2013;92.5;68.2;74.7;45;66.4;22.9;28.8
416;Nederlands;2014;92.9;61;76.2;57.3;73.3;22.9;39.1
417;Nederlands;2015;94.1;57.5;77.9;66.5;78.2;24.4;38.1
418;Nederlands;2016;94.4;59.7;79.1;69.3;84.1;27.8;43.5
419;Nederlands;2017;96.9;60.7;82.1;72.5;88.4;30.6;51.9
432;Westers;2012;91.9;67.8;72.7;;54.3;21.9;21.9
433;Westers;2013;94.5;60.8;73.4;46.3;65.5;14.7;31.5
434;Westers;2014;92.6;58.9;73.7;57.6;67.5;22;38.8
435;Westers;2015;94.9;54.2;74.7;61.8;74.9;21.8;33.7
436;Westers;2016;92.3;52.1;78.8;63.3;81.8;24.8;43.1
437;Westers;2017;96.4;59.5;80.5;70.8;85.9;27.1;47.2
450;Niet-westers;2012;89.5;68.6;72.8;;59.5;32.8;19.1
451;Niet-westers;2013;96.4;71.7;78.4;44.9;77.5;35.1;28.6
452;Niet-westers;2014;95.6;64.1;75.1;55.5;85.9;31.7;39.1
453;Niet-westers;2015;92.4;52.6;74.1;56.7;86.3;34.5;40.6
454;Niet-westers;2016;95.7;54;80.7;65.8;91;38.2;52.7
455;Niet-westers;2017;98.7;58.9;82.8;67.4;96;39.1;56.5